first_name,last_name,full_name,position,committee,date,work_place,role,raw_line
מנהלת,"ענף פיתוח תשתיות ציבוריות, משרד התיירות","מנהלת ענף פיתוח תשתיות ציבוריות, משרד התיירות",סיגל גבאי,10,2016-11-02,,,"מנהלת ענף פיתוח תשתיות ציבוריות, משרד התיירות - סיגל גבאי"
"מנכ""ל","החברה להגנות ים המלח, משרד התיירות","מנכ""ל החברה להגנות ים המלח, משרד התיירות",שמעון דניאל,10,2016-11-02,,,"מנכ""ל החברה להגנות ים המלח, משרד התיירות  - שמעון דניאל"
אחראי,"על תכנון וניהול פרויקטים לאומיים, המשרד להגנת הסביבה","אחראי על תכנון וניהול פרויקטים לאומיים, המשרד להגנת הסביבה",רם אלמוג,10,2016-11-02,,,"אחראי על תכנון וניהול פרויקטים לאומיים, המשרד להגנת הסביבה - רם אלמוג"
רפרנט,"באגף תקציבים, משרד האוצר","רפרנט באגף תקציבים, משרד האוצר",עמרי בן חורין,10,2016-11-02,,,"רפרנט באגף תקציבים, משרד האוצר  - עמרי בן חורין"
מנהלת,"אגף קשרי ממשל, משרד האוצר","מנהלת אגף קשרי ממשל, משרד האוצר",אורנה נידם,10,2016-11-02,,,"מנהלת אגף קשרי ממשל, משרד האוצר  - אורנה נידם"
אגף,"קשרי ממשל, משרד האוצר","אגף קשרי ממשל, משרד האוצר",נחמה מונסונגו,10,2016-11-02,,,"אגף קשרי ממשל, משרד האוצר  - נחמה מונסונגו"
ממונה,"ביקורת המדינה, משרד הביטחון","ממונה ביקורת המדינה, משרד הביטחון",שלום גנצר,10,2016-11-02,,,"ממונה ביקורת המדינה, משרד הביטחון  - שלום גנצר"
"קמ""ט","שמו""ט, משרד הביטחון וצה""ל","קמ""ט שמו""ט, משרד הביטחון וצה""ל",נפתלי כהן,10,2016-11-02,,,"קמ""ט שמו""ט, משרד הביטחון וצה""ל  - נפתלי כהן"
"חוקר,",המכון הגיאולוגי,"חוקר, המכון הגיאולוגי",גדעון בר,10,2016-11-02,,,"חוקר, המכון הגיאולוגי  - גדעון בר"
ראש,"מועצת תמר, ראש מועצה איזורית","ראש מועצת תמר, ראש מועצה איזורית",דב ליטבינוף,10,2016-11-02,,,"ראש מועצת תמר, ראש מועצה איזורית  - דב ליטבינוף"
ראש,"מועצת מגילות ים המלח, ראש מועצה איזורית","ראש מועצת מגילות ים המלח, ראש מועצה איזורית",אריה כהן,10,2016-11-02,,,"ראש מועצת מגילות ים המלח, ראש מועצה איזורית  - אריה כהן"
מנהל,"מחוז הנגב, משרד החקלאות ופיתוח הכפר","מנהל מחוז הנגב, משרד החקלאות ופיתוח הכפר",יואב מורג,10,2016-11-02,,,"מנהל מחוז הנגב, משרד החקלאות ופיתוח הכפר  - יואב מורג"
